Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
IU|FUNA|10|HHZ|-8.5259|179.196594|20.0|0.0|0.0|-90.0|Trillium 240 broad band|1983069950.0|0.02|M/S|100.0|2011-01-12T00:00:00|2599-12-31T23:59:59|IU.FUNA.10.HHZ.M|2011-01-12|2018-10-12|244512000.00000003
IU|FURI|10|HHZ|8.8952|38.679798|2565.0|5.0|0.0|-90.0|Streckeisen STS-2.5|2462889980.0|0.02|M/S|100.0|2012-10-26T00:00:00|2599-12-31T23:59:59|IU.FURI.10.HHZ.M|2012-10-26|2018-10-12|188092800.0
IU|GNI||EHZ|40.147999|44.741001|1509.0|100.0|0.0|-90.0|Geotech GS-13 Seismometer|1000000000.0|5.0|M/S|100.0|1991-07-10T00:00:00|1996-11-18T00:00:00|IU.GNI..EHZ.M|1991-07-10|1996-11-18|169171200.0
IU|GNI||HHZ|40.147999|44.741001|1509.0|100.0|0.0|-90.0|Geotech GS-13 Seismometer|1000000000.0|5.0|M/S|100.0|1991-07-10T00:00:00|1996-11-18T00:00:00|IU.GNI..HHZ.M|1991-07-10|1996-11-18|169171200.0
IU|GNI|10|HHZ|40.147999|44.741001|1509.0|100.0|0.0|-90.0|Trillium 240 broad band|1983069950.0|0.02|M/S|100.0|2010-10-07T00:00:00|2012-02-22T10:43:00|IU.GNI.10.HHZ.M|2010-10-07|2012-02-23|43497780.0
IU|GNI|10|HHZ|40.147999|44.741001|1509.0|100.0|0.0|-90.0|Trillium 240 broad band|1983069950.0|0.02|M/S|100.0|2012-02-22T10:43:00|2599-12-31T23:59:59|IU.GNI.10.HHZ.M|2012-02-22|2018-10-12|209395020.0
IU|GRFO||HHZ|49.690899|11.2203|284.0|100.0|0.0|-90.0|T120 post hole, quiet|493668992.0|0.02|M/S|100.0|2015-01-19T00:00:00|2599-12-31T23:59:59|IU.GRFO..HHZ.M|2015-01-19|2018-10-12|117676800.0
IU|GUMO|00|HHZ|13.5893|144.868393|74.0|96.0|0.0|-90.0|Trillium 360|1822009980.0|0.02|M/S|100.0|2017-08-30T00:00:00|2599-12-31T23:59:59|IU.GUMO.00.HHZ.M|2017-08-30|2018-10-12|35251200.0
IU|GUMO|10|HHZ|13.5893|144.868393|170.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|33635600400.0|0.02|M/S|100.0|2010-01-12T00:00:00|2011-08-16T05:50:00|IU.GUMO.10.HHZ.M|2010-01-12|2011-08-17|50219400.0
IU|GUMO|10|HHZ|13.5893|144.868393|170.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2011-08-16T05:50:00|2599-12-31T23:59:59|IU.GUMO.10.HHZ.M|2011-08-16|2018-10-12|225828600.0
