Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
TA|112A||BHZ|32.535599|-114.580399|87.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2007-05-06T00:00:00|2007-12-15T22:00:00|TA.112A..BHZ.M|2007-05-06|2007-12-16|19346400.0
TA|112A||BHZ|32.535599|-114.580399|87.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2007-12-15T22:00:00|2008-10-22T21:45:00|TA.112A..BHZ.M|2007-12-15|2008-10-23|26955900.0
TA|113A||BHZ|32.768299|-113.766701|118.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2007-05-08T00:00:00|2010-05-28T15:00:15|TA.113A..BHZ.M|2007-05-08|2010-05-29|96476415.0
TA|114A||BHZ|32.751301|-112.883003|279.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-02-05T00:00:00|2009-02-18T17:15:00|TA.114A..BHZ.M|2008-02-05|2009-02-19|32807700.000000004
TA|115A||BHZ|32.7006|-112.227898|606.2|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2006-03-21T00:00:00|2007-03-08T23:45:00|TA.115A..BHZ.M|2006-03-21|2007-03-09|30498300.000000004
TA|115A||BHZ|32.7006|-112.227898|606.2|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2007-03-08T23:45:00|2008-10-29T00:59:59|TA.115A..BHZ.M|2007-03-08|2008-10-30|51844499.0
TA|115A||BHZ|32.7006|-112.227898|606.2|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-10-29T01:00:00|2008-12-04T16:11:45|TA.115A..BHZ.M|2008-10-29|2008-12-05|3165105.0
TA|116A||BHZ|32.561798|-111.704201|477.3|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2006-03-20T00:00:00|2007-03-09T19:30:00|TA.116A..BHZ.M|2006-03-20|2007-03-10|30655800.000000004
TA|116A||BHZ|32.561798|-111.704201|477.3|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2007-03-09T19:30:00|2008-12-05T16:00:00|TA.116A..BHZ.M|2007-03-09|2008-12-06|55024200.0
TA|117A||BHZ|32.571602|-110.739304|1544.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|630907010.0|0.2|M/S|40.0|2007-04-06T00:00:00|2008-10-30T13:59:59|TA.117A..BHZ.M|2007-04-06|2008-10-31|49557599.0
