Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
2C|BB09||HHZ|-84.42489599999998|-159.170502|99.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|753518980.0|0.6|M/S|200.0|2010-12-01T01:01:20|2011-02-05T23:59:59|2C.BB09..HHZ.M|2010-12-01|2011-02-06|5785119.0
2C|BB10||HHZ|-84.070503|-159.035004|88.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|753518980.0|0.6|M/S|200.0|2010-12-01T01:01:21|2011-02-05T23:59:59|2C.BB10..HHZ.M|2010-12-01|2011-02-06|5785118.0
2C|BB11||HHZ|-84.386002|-157.904297|93.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|753518980.0|0.6|M/S|200.0|2010-12-01T01:01:22|2011-02-05T23:59:59|2C.BB11..HHZ.M|2010-12-01|2011-02-06|5785117.0
2C|BB12||HHZ|-84.230598|-160.777695|92.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|753518980.0|0.6|M/S|200.0|2010-12-01T01:01:23|2011-02-05T23:59:59|2C.BB12..HHZ.M|2010-12-01|2011-02-06|5785116.0
2C|BB13||HHZ|-84.467598|-159.333801|102.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|753518980.0|0.6|M/S|200.0|2010-12-01T01:01:24|2011-02-05T23:59:59|2C.BB13..HHZ.M|2010-12-01|2011-02-06|5785115.0
2C|BB14||HHZ|-84.190201|-156.054398|126.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|753518980.0|0.6|M/S|200.0|2010-12-01T01:01:25|2011-02-05T23:59:59|2C.BB14..HHZ.M|2010-12-01|2011-02-06|5785114.0
2C|BB15||HHZ|-84.261101|-159.0979|116.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|753518980.0|0.6|M/S|200.0|2010-12-01T01:01:26|2011-02-05T23:59:59|2C.BB15..HHZ.M|2010-12-01|2011-02-06|5785113.0
2C|BB16||HHZ|-84.5569|-158.647598|139.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|753518980.0|0.6|M/S|200.0|2010-12-01T01:01:27|2011-02-05T23:59:59|2C.BB16..HHZ.M|2010-12-01|2011-02-06|5785112.0
2C|BB17||HHZ|-84.5522|-156.807205|128.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|753518980.0|0.6|M/S|200.0|2010-12-01T01:01:28|2011-02-05T23:59:59|2C.BB17..HHZ.M|2010-12-01|2011-02-06|5785111.0
2C|GS04||CHZ|-84.43789699999998|-156.97479199999995|120.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS04..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|GS05||CHZ|-84.649803|-159.015198|130.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS05..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|GS07||CHZ|-84.375702|-158.895294|100.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS07..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|GS09||CHZ|-84.554199|-159.967194|120.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.GS09..CHZ.M|2011-12-01|2011-12-29|2419199.0
