Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
GS|DEC12|01|HHZ|39.906864|-88.906837|208.5|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2013-08-22T16:00:00|2014-04-25T23:00:00|GS.DEC12.01.HHZ.M|2013-08-22|2014-04-26|21279600.0
GS|DEC12|01|HHZ|39.906864|-88.906837|208.5|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2014-04-25T23:00:00|2014-06-07T16:30:00|GS.DEC12.01.HHZ.M|2014-04-25|2014-06-08|3691800.0
GS|DEC12|01|HHZ|39.906864|-88.906837|208.5|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|471280000.0|1.0|M/S|200.0|2014-06-07T16:30:00|2014-07-26T18:55:00|GS.DEC12.01.HHZ.M|2014-06-07|2014-07-27|4242300.0
GS|DEC12|01|HHZ|39.906864|-88.906837|208.5|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2014-07-26T18:55:00|2015-12-04T00:00:00|GS.DEC12.01.HHZ.M|2014-07-26|2015-12-04|42786300.0
GS|DEC13|01|HHZ|39.90118|-88.878677|224.0|0.0|0.0|-90.0|TRILLIUM COMPACT,VELOCITY-TRANSDUCER,NANOMETRICS|271118016.0|1.0|M/S|200.0|2014-04-25T20:38:00|2599-12-31T23:59:59|GS.DEC13.01.HHZ.M|2014-04-25|2018-10-12|140844120.0
GS|ETX04|00|HHZ|31.8668|-94.381027|113.0|0.0|0.0|-90.0|TRILLIUM-COMPACT=001422=Gen=RT-130=B780|471366016.0|1.0|M/S|100.0|2013-02-19T00:00:00|2013-05-08T00:00:00|GS.ETX04.00.HHZ.M|2013-02-19|2013-05-08|6739200.0
GS|ETX05|00|HHZ|31.84626|-94.386253|125.0|0.0|0.0|-90.0|TRILLIUM-COMPACT=001502=Gen=RT-130=B781|471366016.0|1.0|M/S|100.0|2013-02-19T00:00:00|2013-03-22T00:00:00|GS.ETX05.00.HHZ.M|2013-02-19|2013-03-22|2678400.0
GS|ETX06|00|HHZ|31.867519|-94.45253|117.0|0.0|0.0|-90.0|TRILLIUM-COMPACT=001511=Gen=RT-130=B783|471366016.0|1.0|M/S|100.0|2013-02-21T00:00:00|2013-07-27T00:00:00|GS.ETX06.00.HHZ.M|2013-02-21|2013-07-27|13478400.0
GS|ETX07|00|HHZ|31.8965|-94.470779|107.0|0.0|0.0|-90.0|TRILLIUM-COMPACT=001501=Gen=RT-130=B778|471366016.0|1.0|M/S|100.0|2013-02-22T00:00:00|2013-05-07T00:00:00|GS.ETX07.00.HHZ.M|2013-02-22|2013-05-07|6393600.0
GS|ETX08|00|HHZ|31.83602|-94.418167|107.0|0.0|0.0|-90.0|TRILLIUM-COMPACT=001458=Gen=RT-130=B771|471366016.0|1.0|M/S|100.0|2013-02-21T00:00:00|2013-08-08T00:00:00|GS.ETX08.00.HHZ.M|2013-02-21|2013-08-08|14515200.0
GS|FBA2|10|EHZ|34.942402|-106.457901|1850.0|0.0|0.0|-90.0|Trillium Compact 120 sec|316251008.0|1.0|M/S|200.0|2018-03-13T00:00:00|2018-04-26T00:00:00|GS.FBA2.10.EHZ.M|2018-03-13|2018-04-26|3801600.0000000005
GS|GTO|00|HHZ|34.942402|-106.457901|1850.0|0.0|0.0|-90.0|Trillium Compact 120 sec|316251008.0|1.0|M/S|100.0|2018-06-05T00:00:00|2018-06-06T00:00:00|GS.GTO.00.HHZ.M|2018-06-05|2018-06-06|86400.0
GS|HCEA||EHZ|18.503775|-72.305222|746.0|0.0|0.0|-90.0|K2-L4C=*=Gen=K2DAS=529|559688000.0|10.0|M/S|200.0|2010-03-09T00:00:00|2010-12-31T00:00:00|GS.HCEA..EHZ.M|2010-03-09|2010-12-31|25660800.0
GS|HCMD|00|EHZ|18.46063|-72.635933|74.0|0.0|0.0|-90.0|L22-119-07=542=Gen=RT-130=IW-928A|1772179970.0|10.0|M/S|100.0|2010-03-13T00:00:00|2010-06-24T19:35:00|GS.HCMD.00.EHZ.M|2010-03-13|2010-06-25|8969700.0
GS|HCMD|01|EHZ|18.46063|-72.635933|74.0|0.0|0.0|-90.0|L22-119-07=542=Gen=RT-130=IW-928A|1772179970.0|10.0|M/S|200.0|2010-03-13T00:00:00|2010-06-24T19:35:00|GS.HCMD.01.EHZ.M|2010-03-13|2010-06-25|8969700.0
GS|HGTCO||HHZ|37.107498|-104.674011|2109.0|0.0|0.0|-90.0|TRILLIUM-COMPACT=000597=Gen=RT-130=936B|471366016.0|1.0|M/S|100.0|2011-08-23T00:00:00|2011-09-20T22:00:00|GS.HGTCO..HHZ.M|2011-08-23|2011-09-21|2498400.0
GS|HGTCO||HHZ|37.107498|-104.674011|2109.0|0.0|0.0|-90.0|TRILLIUM-COMPACT=000579=Gen=RT-130=936B|471366016.0|1.0|M/S|100.0|2011-09-20T22:00:00|2012-05-23T00:00:00|GS.HGTCO..HHZ.M|2011-09-20|2012-05-23|21175200.0
GS|HIP||EHZ|47.040829|-122.895103|2.0|0.0|0.0|-90.0|L22-119-07=023=Gen=K2DAS=1545|295279008.0|10.0|M/S|100.0|2001-03-01T00:00:00|2002-04-26T00:00:00|GS.HIP..EHZ.M|2001-03-01|2002-04-26|36374400.0
GS|HVGZ||EHZ|18.553341|-72.303513|86.0|0.0|0.0|-90.0|K2-L4C=*=Gen=K2DAS=603|559688000.0|10.0|M/S|200.0|2010-03-12T00:00:00|2010-12-31T00:00:00|GS.HVGZ..EHZ.M|2010-03-12|2010-12-31|25401600.0
